Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres,Capacity_acrefeet
3199.15,3196.23,1430.39,8744.7
3199.48,3196.56,1479.42,9222.43
3199.8,3196.89,1524.75,9715.09
3200.13,3197.22,1574.85,10223.53
3200.46,3197.55,1625.33,10748.7
3200.79,3197.87,1671.21,11289.35
3201.12,3198.2,1716.27,11845.17
3201.44,3198.53,1767.88,12416.28
3201.77,3198.86,1827.29,13006.31
3202.1,3199.19,1885.27,13615.19
3202.43,3199.51,1942.26,14242.99
3202.76,3199.84,1991.88,14888.87
3203.08,3200.17,2036.92,15549.5
3203.41,3200.5,2080.76,16225.23
3203.74,3200.83,2121.74,16914.62
3204.07,3201.16,2161.92,17616.93
3204.4,3201.48,2214.21,18334.83
3204.72,3201.81,2271.53,19070.48
3205.05,3202.14,2319.11,19824.02
3205.38,3202.47,2366.25,20592.45
3205.71,3202.8,2407.7,21375.41
3206.04,3203.12,2451.94,22172.9
3206.36,3203.45,2499.59,22984.73
3206.69,3203.78,2549.91,23813.58
3207.02,3204.11,2599.06,24657.82
3207.35,3204.44,2646.31,25518.18
3207.68,3204.76,2696.52,26394.61
3208.01,3205.09,2749.7,27288.15
3208.33,3205.42,2791.98,28197.71
3208.66,3205.75,2829.16,29119.61
3208.99,3206.08,2864.91,30053.43
3209.32,3206.4,2903.76,30999.99
3209.65,3206.73,2940.19,31958.54
3209.97,3207.06,2971.27,32928.86
3210.3,3207.39,2997.39,33907.84
3210.63,3207.72,3023.46,34895.22
3210.96,3208.05,3049.25,35891.85
3211.29,3208.37,3072.49,36895.89
3211.61,3208.7,3096.12,37908.12
3211.94,3209.03,3121.8,38927.81
3212.27,3209.36,3147.72,39956.05
3212.6,3209.69,3173.21,40993.34
3212.93,3210.01,3199.35,42038.44
3213.25,3210.34,3226.12,43092.89
3213.58,3210.67,3257.97,44156.24
3213.91,3211,3290.75,45230.36
3214.24,3211.33,3320.67,46315.39
3214.57,3211.65,3349.79,47409.39
3214.9,3211.98,3382.3,48514.09
3215.22,3212.31,3417.67,49629.26
3215.55,3212.64,3454.43,50756.21
3215.88,3212.97,3489.76,51896.02
3216.21,3213.29,3517,53045.32
3216.54,3213.62,3539.2,54203.31
3216.86,3213.95,3559.97,55367.66
3217.19,3214.28,3580.34,56538.74
3217.52,3214.61,3599.68,57716.95
3217.85,3214.93,3618.9,58900.84
3218.18,3215.26,3637.72,60091.69
3218.5,3215.59,3654.9,61287.71
3218.83,3215.92,3671.97,62489.34
3219.16,3216.25,3689.36,63697.39
3219.49,3216.58,3706.26,64910.26
3219.82,3216.9,3725.04,66129.67
3220.14,3217.23,3744.44,67354.72
3220.47,3217.56,3762.72,68585.93
3220.8,3217.89,3782.05,69823.99
3221.13,3218.22,3803.88,71068.05
3221.46,3218.54,3825.37,72320.06
3221.78,3218.87,3846.67,73578.3
3222.11,3219.2,3866.66,74843.31
3222.44,3219.53,3885.62,76115.53
3222.77,3219.86,3902.98,77392.93
3223.1,3220.18,3919.11,78676.6
3223.43,3220.51,3933.69,79964.53
3223.75,3220.84,3947.34,81257.05
3224.08,3221.17,3960.94,82554.82
3224.41,3221.5,3974.91,83856.31
3224.74,3221.82,3989.43,85163.27
3225.07,3222.15,4005.49,86474.33
3225.39,3222.48,4023.69,87791.15
3225.72,3222.81,4053.41,89116.01
3226.05,3223.14,4099.58,90452.9
3226.38,3223.47,4141.18,91805.33
3226.71,3223.79,4187.77,93170.98
3227.03,3224.12,4259.08,94555.52
3227.36,3224.45,4350.45,95967.72
3227.69,3224.78,4458.22,97412.51
3228.02,3225.11,4564.5,98892.92
3228.35,3225.43,4662.16,100406.41
3228.67,3225.76,4753.68,101950.62
3229,3226.09,4837.27,103525.06
3229.33,3226.42,4897.84,105122.33
3229.66,3226.75,4940.11,106737.4
3229.99,3227.07,4974.05,108363.15
3230.32,3227.4,5009.87,110000.75
3230.64,3227.73,5038.68,111649.87
3230.97,3228.06,5064.4,113306.84
3231.3,3228.39,5090.84,114973.37
3231.63,3228.71,5117.86,116647.55
3231.96,3229.04,5140.47,118330.08
3232.28,3229.37,5162.51,120020.79
3232.61,3229.7,5182.61,121717.47
3232.94,3230.03,5200.03,123421.36
3233.27,3230.35,5217.96,125129.84
3233.6,3230.68,5243.06,126845.34
3233.92,3231.01,5268.28,128570.39
3234.25,3231.34,5293.07,130302.38
3234.58,3231.67,5320.37,132044.01
3234.91,3232,5356.04,133794.75
3235.24,3232.32,5390.1,135557.32
3235.56,3232.65,5420.02,137331.25
3235.89,3232.98,5455.77,139114.65
3236.22,3233.31,5490.71,140911.18
3236.55,3233.64,5528.65,142718.06
3236.88,3233.96,5579.09,144539.71
3237.2,3234.29,5618.91,146377.73
3237.53,3234.62,5647.73,148225.65
3237.86,3234.95,5676.17,150083.97
3238.19,3235.28,5703.44,151950.21
3238.52,3235.6,5741.09,153826.7
3238.85,3235.93,5785.68,155718.44
3239.17,3236.26,5829.53,157623.42
3239.5,3236.59,5866.62,159542.95
3239.83,3236.92,5901.01,161472.96
3240.16,3237.24,5928.86,163413.3
3240.49,3237.57,5952.49,165363.01
3240.81,3237.9,5982.45,167320.18
3241.14,3238.23,6016.82,169289.36
3241.47,3238.56,6047.62,171267.93
3241.8,3238.89,6077.08,173256.56
3242.13,3239.21,6099.66,175254.92
3242.45,3239.54,6118.25,177258.71
3242.78,3239.87,6138.68,179269.96
3243.11,3240.2,6163.59,181287.61
3243.44,3240.53,6183.37,183312.55
3243.77,3240.85,6205.07,185345.42
3244.09,3241.18,6230.04,187384.78
3244.42,3241.51,6258.2,189433.74
3244.75,3241.84,6288.43,191491.6
3245.08,3242.17,6318.01,193559.13
3245.41,3242.49,6348.85,195637.8
3245.74,3242.82,6381.23,197725.47
3246.06,3243.15,6417.23,199825.64
3246.39,3243.48,6452.84,201936.44
3246.72,3243.81,6480.76,204057.56
3247.05,3244.13,6510.36,206189.44
3247.38,3244.46,6537.61,208329.4
3247.7,3244.79,6565.91,210479.7
3248.03,3245.12,6599.8,212638.66
3248.36,3245.45,6638.35,214809.94
3248.69,3245.77,6670.85,216994.12
3249.02,3246.1,6702.11,219187.28
3249.34,3246.43,6730.77,221391.85
3249.67,3246.76,6755.51,223603.69
3250,3247.09,6778.66,225823.37
3250.33,3247.42,6804,228052.28
3250.66,3247.74,6829.41,230288.22
3250.98,3248.07,6856.32,232533.94
3251.31,3248.4,6888.18,234787.87
3251.64,3248.73,6916.53,237052.08
3251.97,3249.06,6941.63,239326.24
3252.3,3249.38,6963.96,241606.94
3252.62,3249.71,6982.89,243895.65
3252.95,3250.04,7000.67,246189.03
3253.28,3250.37,7017.93,248488.14
3253.61,3250.7,7034.79,250794.22
3253.94,3251.02,7052.45,253104.55
3254.27,3251.35,7069.98,255422.08
3254.59,3251.68,7087.4,257743.99
3254.92,3252.01,7103.36,260071.33
3255.25,3252.34,7118.71,262405.24
3255.58,3252.66,7133.4,264742.64
3255.91,3252.99,7147.33,267086.16
3256.23,3253.32,7160.94,269432.77
3256.56,3253.65,7175.23,271783.89
3256.89,3253.98,7189.35,274141.19
3257.22,3254.3,7202.49,276501.5
3257.55,3254.63,7215.15,278867.48
3257.87,3254.96,7227.75,281236.14
3258.2,3255.29,7240.31,283608.94
3258.53,3255.62,7254.67,285987.52
3258.86,3255.95,7271.99,288369.83
3259.19,3256.27,7292.52,290759.78
3259.51,3256.6,7317.3,293155.77
3259.84,3256.93,7341.89,295559.92
3260.17,3257.26,7369.12,297973.9
3260.5,3257.59,7400.6,300396.05
3260.83,3257.91,7436.35,302830.76
3261.15,3258.24,7470.77,305275.75
3261.48,3258.57,7499.58,307730.97
3261.81,3258.9,7526.08,310196.81
3262.14,3259.23,7548.63,312669.2
3262.47,3259.55,7568.25,315149.99
3262.8,3259.88,7586.14,317635.38
3263.12,3260.21,7602.87,320126.41
3263.45,3260.54,7619.21,322624.41
3263.78,3260.87,7635.12,325126.18
3264.11,3261.19,7649.96,327634.52
3264.44,3261.52,7664.62,330146.13
3264.76,3261.85,7679.19,332662.58
3265.09,3262.18,7693.38,335185.25
3265.42,3262.51,7709.78,337711.29
3265.75,3262.84,7730.45,340245.02
3266.08,3263.16,7750.11,342783.85
3266.4,3263.49,7769.83,345329.14
3266.73,3263.82,7789.97,347882.52
3267.06,3264.15,7816.91,350441.75
3267.39,3264.48,7849.21,353012.67
3267.72,3264.8,7882.63,355592.69
3268.04,3265.13,7913.32,358183.4
3268.37,3265.46,7942.29,360785.42
3268.7,3265.79,7971.15,363395.25
3269.03,3266.12,8002.15,366016.45
3269.36,3266.44,8029.8,368645.9
3269.69,3266.77,8052.1,371283.48
3270.01,3267.1,8072.11,373929.57
3270.34,3267.43,8090.17,376580.25
3270.67,3267.76,8106.89,379238.28
3271,3268.08,8123.06,381900.03
3271.33,3268.41,8141.14,384567.23
3271.65,3268.74,8162.62,387242.77
3271.98,3269.07,8183.73,389923.54
3272.31,3269.4,8209.28,392613.56
3272.64,3269.72,8231.87,395309.92
3272.97,3270.05,8257.47,398014.05
3273.29,3270.38,8287.82,400729.08
3273.62,3270.71,8320.43,403452.94
3273.95,3271.04,8344.69,406188.02
3274.28,3271.37,8365.44,408928.5
3274.61,3271.69,8384.63,411675.62
3274.93,3272.02,8403.66,414430.56
3275.26,3272.35,8424.4,417190.43
3275.59,3272.68,8444.31,419958.66
3275.92,3273.01,8463.91,422731.68
3276.25,3273.33,8489.87,425511.98
3276.57,3273.66,8520.59,428303.52
3276.9,3273.99,8551.84,431103.46
3277.23,3274.32,8578.38,433914.63
